PdmarticleID;Bezeichnung;Externer Schlüssel;Nennspannung;Leistungsverbrauch Betrieb;Leistungsverbrauch Ruhestellung;Leistungsverbrauch Dimensionierung;Anschluss;Nenndrehmoment;Drehmoment Feder Wert;Stellkraft;Notstellfunktion;Drehwinkel;Laufzeit Motor;Laufzeit Notstellfunktion;Stellzeit Motor;Stellzeit Notstellfunktion;Laufzeit Referenz;Schallleistungspegel Motor;Ansteuerung;Arbeitsbereich Y;Stellungsrückmeldung U;Stellsignal Y veränderbar;Anschluss Speisung / Steuerung;Schutzart IEC/EN;Umgebungstemperatur;6287;Produktbild 4c/bw;Datenblattname;Datenblatt PDF;Company [Competitor];Serie Valve [Competitor];Serie Actuator [Competitor];Produkttyp Antrieb [Wettbewerber];Produkttyp Ventil [Wettbewerber];DN;kvs;PN;Hub;Voltage [Competitor];Sound power level [Competitor];Control type [Competitor];Running Time min [Competitor];Running Time max [Competitor];Torque [Competitor];Stroke [Competitor];Power consumption [Competitor];Connection [Competitor];Safety function [Competitor];Integrated switch [Competitor];Integrated potentiometer [Competitor];Degree of protection [Competitor];Angle of rotation [Competitor];Working range [Competitor];Positioning feedback [Competitor];Spindle driver [Competitor];Manual override [Competitor];Additional Specification [Competitor];Belimo Retrofit1 Actuator;Belimo Retrofit1 Accessory1;Belimo Retrofit1 Form fit adapter;Belimo Retrofit1 Reducer;Belimo Retrofit1 Insulation cover;Belimo Retrofit2 Actuator;Belimo Retrofit2 Accessory1;Belimo Retrofit2 Form fit adapter;Belimo Retrofit2 Reducer;Belimo Retrofit3 Actuator;Belimo Retrofit3 Accessory;Belimo Retrofit3 Form fit adapter;Belimo Retrofit4 Actuator;Belimo Retrofit4 Accessory;Belimo Retrofit4 Form fit adapter;Belimo Retrofit Valve;Belimo Retrofit VA-Unit;Versions-Nr;Pfad
300220;Ziva G_DN 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Ziva G (Fig. 015);;;Drehventil;32;24 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
299307;MTV15-0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Osby;MTV;;;Hubventil;15;0.63 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Osby\
299302;MTR20-5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Osby;MTR;;;Hubventil;20;5.6 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Osby\
299299;MTR15-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Osby;MTR;;;Hubventil;15;2.1 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Osby\
300215;Zesa_DN 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Zesa (Fig. 012);;;Drehventil;200;3460 m³/h;;;;;;;;;;;;;;;;;;;;;;SY2-230-3-T|SY2-230-MP-T|SY2-230-SR-T|SY2-24-3-T|SY2-24-MP-T|SY2-24-SR-T|SY3-230-3-T|SY3-230-MP-T|SY3-230-SR-T|SY3-24-3-T|SY3-24-MP-T|SY3-24-SR-T;;ZSY-012;;ZSY-014;;;;;;;;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
300225;Ziva G_DN 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Ziva G (Fig. 015);;;Drehventil;100;550 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
298398;065Z0139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;VRG 2;;;Hubventil;40;25 m³/h;;15 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Danfoss\
299760;VUG 100 F304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sauter;VUG;;;Hubventil;100;160 m³/h;;40 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;ZRV-304;;;;;;;;;;;;;;;25;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Sauter\
298849;"BR316RGA-1.5""-25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hora;BR316RGA;;;Hubventil;40;25 m³/h;;14 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Hora\
305148;VG89L1S1H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Johnson Controls;VG89xx;;;Hubventil;150;350 m³/h;;42 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;11;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Johnson Controls\
