PdmarticleID#PdmarticleID	Label#Label	External Key#ExternalKey	Nominal voltage#83	Power consumption in operation#67	Power consumption in rest position#68	Power consumption for wire sizing#69	Connection#6759	Nominal torque#260	Spring torque value#117	Actuating force#118	Emergency control function#890	Angle of rotation#473	Running time motor#230	Running time reference#3645	Running time emergency control position#3474	Sound power level motor#135	Control#281	Positioning signal Y#120	Control signal Y variable#5695	Operating range Y#121	Position feedback U#122	Connection supply / control#96	Degree of protection IEC/EN#144	Direction of motion motor#119	Auxiliary switch#112	Spindle driver#137	Ambient temperature#156	6287	Product picture 4c/bw#377	Data sheet name#406	Data sheet PDF#660	Company [Competitor]#7687	Serie Actuator [Competitor]#7606	Product type Actuator [Competitor]#7614	Voltage [Competitor]#7607	Sound power level [Competitor]#7608	Control type [Competitor]#7609	Running Time min [Competitor]#7610	Running Time max [Competitor]#7776	Torque [Competitor]#7611	Stroke [Competitor]#7612	Power consumption [Competitor]#7681	Connection [Competitor]#7682	Safety function [Competitor]#7683	Integrated switch [Competitor]#7684	Integrated potentiometer [Competitor]#7685	Degree of protection [Competitor]#7686	Angle of rotation [Competitor]#7771	Working range [Competitor]#7772	Positioning feedback [Competitor]#7773	Spindle driver [Competitor]#7774	Manual override [Competitor]#7775	Additional Specification [Competitor]#7613	Belimo Retrofit1 Antrieb#7597	Belimo Retrofit1 Accessory1#7604	Belimo Retrofit1 Accessory2#7777	Belimo Retrofit1 Actuator Note#7881	Belimo Retrofit2 Actuator#7680	Belimo Retrofit2 Accessory1#7697	Belimo Retrofit2 Accessory2#7778	Belimo Retrofit2 Actuator Note#7882	Belimo Retrofit3 Actuator#7688	Belimo Retrofit3 Accessory#7698	Belimo Retrofit3 Actuator Note#7883	Belimo Retrofit4 Actuator#7704	Belimo Retrofit4 Accessory#7705	Belimo Retrofit4 Actuator Note#7884	Version Number#VersionNr	Path#Path
5050	SM230A-TP	SM230A-TP	AC 230 V	2.5 W	0.6 W	6 VA	Terminals	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Terminals 4 mm² (cable Ø 4...10 mm, 3-wire)	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM230A-TP_4C.jpg	SM230A-TP	SM230A-TP_datasheet_en-gb.pdf																																					377	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC 230 V\
4729	GM24A	GM24A	AC/DC 24 V	4 W	2 W	6 VA	Cable	40 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 12...26.7 mm	-30...50°C		PIC_EU_GM24A_4C.jpg	GM24A	GM24A_datasheet_en-gb.pdf																																					363	EU\Produkte\Lüftungsanwendungen\Standardantriebe\GM..A (40 Nm)\Auf-Zu\AC/DC 24 V\
5032	LU230A	LU230A	AC 230 V	2 W	1 W	4 VA	Cable	3 Nm				∞	150 s	360°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Form fit 12 mm or 8 mm (with insert)	-30...50°C		pic_eu_lu230a_4c.jpg	LU230A	LU230A_datasheet_en-gb.pdf																																					327	EU\Products\Air solutions\Full-rotation actuators\LU..A (3 Nm)\Open-Close, 3-point\AC 230 V\
5025	LMC230A	LMC230A	AC 230 V	2 W	0.5 W	4 VA	Cable	5 Nm				Max. 95°	35 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp 6...20 mm	-30...50°C		pic_eu_lmc230a-neutral_01_4c.jpg	LMC230A	LMC230A_datasheet_en-gb.pdf																																					332	EU\Products\Air solutions\Fast runner actuators\LMC..A (5 Nm)\Open-Close, 3-point\AC 230 V\
4720	SM230P-S	SM230P-S	AC 230 V	2.5 W	0.6 W	6 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm² (halogen-free)	IP66 + IP67	selectable with switch 0 (ccw rotation) / 1 (cw rotation)	1 x SPDT	Universal spindle clamp 14...20 mm	-30...50°C		PIC_EU_Robustline-Luft-2cable_01_4C.jpg	SM230P-S	SM230P-S_datasheet_en-gb.pdf																																					392	EU\Products\Air solutions\RobustLine actuators\SM..P (20 Nm)\Open-Close, 3-point\AC 230 V\
4726	SM230A-S	SM230A-S	AC 230 V	2.5 W	0.6 W	6 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)	1 x SPDT	Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM230A-S_4C.jpg	SM230A-S	SM230A-S_datasheet_en-gb.pdf																																					374	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC 230 V\
62006	SF24A-SZ-S2	SF24A-SZ-S2	AC/DC 24 V	5 W	3 W	7 VA	Cable	20 Nm	20 Nm		With mechanical emergency control function	Max. 95°	150 s	90°	<20 s / 90°	40 dB(A)	modulating	DC 0...10 V		DC 0.5...10 V	DC 0.5...10 V	Cable 1 m, 4 x 0.75 mm²	IP54	selectable with switch L / R	2 x SPDT	Universal spindle clamp 10...25.4 mm	-30°C … 50°C		PIC_EU_SF-2Kabel-neutral_01_4C.jpg	SF24A-SZ-S2	SF24A-SZ-S2_datasheet_en-gb.pdf																																					340	EU\Produkte\Lüftungsanwendungen\Federrücklaufantriebe\SF..A (20 Nm)\stetig\AC/DC 24 V\
140735	SMD24A	SMD24A	AC/DC 24 V	4 W	0.5 W	6.5 VA	Cable	16 Nm				Max. 95°	20 s	90°		55 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 10...20 mm	-30...50°C		pic_eu_smd24a_4c.jpg	SMD24A	SMD24A_datasheet_en-gb.pdf																																					252	EU\Products\Air solutions\Very fast runner actuators\SMD..A (16 Nm)\Open-Close, 3-point\AC/DC 24 V\
5028	LMC24A-SR-F	LMC24A-SR-F	AC/DC 24 V	1.5 W	0.4 W	3 VA	Cable	5 Nm				Max. 95°	35 s	90°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V	Cable 1 m, 4 x 0.75 mm²	IP54	selectable with switch 0 / 1		Form fit 8x8 mm	-30...50°C		pic_eu_lmc24a-sr-f_4c.jpg	LMC24A-SR-F	LMC24A-SR-F_datasheet_en-gb.pdf																																					341	EU\Products\Air solutions\Fast runner actuators\LMC..A (5 Nm)\modulating\AC/DC 24 V\
4723	SM24AP5	SM24AP5	AC/DC 24 V	2 W	0.2 W	4 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM24A-S-neutral_4C.jpg	SM24AP5	SM24AP5_datasheet_en-gb.pdf																																					377	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC/DC 24 V\
