PdmarticleID#PdmarticleID	Label#Label	External Key#ExternalKey	Nominal voltage#83	Power consumption in operation#67	Power consumption in rest position#68	Power consumption for wire sizing#69	Connection#6759	Nominal torque#260	Spring torque value#117	Actuating force#118	Emergency control function#890	Angle of rotation#473	Running time motor#230	Running time reference#3645	Running time emergency control position#3474	Sound power level motor#135	Control#281	Positioning signal Y#120	Control signal Y variable#5695	Operating range Y#121	Position feedback U#122	Connection supply / control#96	Degree of protection IEC/EN#144	Direction of motion motor#119	Auxiliary switch#112	Spindle driver#137	Ambient temperature#156	6287	Product picture 4c/bw#377	Data sheet name#406	Data sheet PDF#660	Company [Competitor]#7687	Serie Actuator [Competitor]#7606	Product type Actuator [Competitor]#7614	Voltage [Competitor]#7607	Sound power level [Competitor]#7608	Control type [Competitor]#7609	Running Time min [Competitor]#7610	Running Time max [Competitor]#7776	Torque [Competitor]#7611	Stroke [Competitor]#7612	Power consumption [Competitor]#7681	Connection [Competitor]#7682	Safety function [Competitor]#7683	Integrated switch [Competitor]#7684	Integrated potentiometer [Competitor]#7685	Degree of protection [Competitor]#7686	Angle of rotation [Competitor]#7771	Working range [Competitor]#7772	Positioning feedback [Competitor]#7773	Spindle driver [Competitor]#7774	Manual override [Competitor]#7775	Additional Specification [Competitor]#7613	Belimo Retrofit1 Antrieb#7597	Belimo Retrofit1 Accessory1#7604	Belimo Retrofit1 Accessory2#7777	Belimo Retrofit1 Actuator Note#7881	Belimo Retrofit2 Actuator#7680	Belimo Retrofit2 Accessory1#7697	Belimo Retrofit2 Accessory2#7778	Belimo Retrofit2 Actuator Note#7882	Belimo Retrofit3 Actuator#7688	Belimo Retrofit3 Accessory#7698	Belimo Retrofit3 Actuator Note#7883	Belimo Retrofit4 Actuator#7704	Belimo Retrofit4 Accessory#7705	Belimo Retrofit4 Actuator Note#7884	Version Number#VersionNr	Path#Path
PdmarticleID	Label	ExternalKey	83	67	68	69	6759	260	117	118	890	473	230	3645	3474	135	281	120	5695	121	122	96	144	119	112	137	156	6287	377	406	660	7687	7606	7614	7607	7608	7609	7610	7776	7611	7612	7681	7682	7683	7684	7685	7686	7771	7772	7773	7774	7775	7613	7597	7604	7777	7881	7680	7697	7778	7882	7688	7698	7883	7704	7705	7884	VersionNr	Path
301718	LM24/500																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	5 m				IP54	95°			6...16 mm			LM24A			Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301390	N20010-SER-SW2																															Honeywell			AC 24 V	40 dB(A)	modulating	95 s		20 Nm		6 VA	Terminal		2 x SPDT		IP54	95°	DC 0...30 V / 0...60 mA adjustable	DC 0...10 V	10...27 mm	gear disengagement		SM24A-MP-TP	S2A		Accessory S2A with 2 adjustable switching points.|											57	EU\Retrofit (Competitors)\Air solutions\Honeywell\
288488	GEB136.2E																															Siemens	GEB	linear actuator	AC 24 V		3-point	150 s			400 N	4 VA	0.9 m		2 x SPDT		IP40																					64	EU\Retrofit (Competitors)\Air solutions\Siemens\
301877	SM24																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301555	SAL2.23S																															Joventa			AC 230 V	45 dB(A)	2- / 3-point	125 s		24 Nm		3.6 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		GM230A-TP	S2A		"For 3-point control please get in touch with your local Belimo support.|
Accessory S2A with 2 adjustable switching points.|"											58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301879	SM24 EK																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301552	SAL1.23																															Joventa			AC/DC 24 V	45 dB(A)	2- / 3-point	125 s		24 Nm		5 VA	Terminal				IP54	93°			10...20 mm	gear disengagement		GM24A-TP				GM24A-MP-TP			For 3-point control, AC only.|							55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301392	N20230-2POS																															Honeywell			AC 230 V	40 dB(A)	Open-close	110 s		20 Nm		8 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		SM230A-TP														56	EU\Retrofit (Competitors)\Air solutions\Honeywell\
288492	GEB166.2E																															Siemens	GEB	linear actuator	AC 24 V		modulating	150 s			400 N	6 VA	0.9 m		2 x SPDT		IP40																					48	EU\Retrofit (Competitors)\Air solutions\Siemens\
304325	SFP-512-3																															Newenta			AC 100...230 V		Open-close			5 Nm				yes	2 x SPDT						6...15 mm			LF230-S				LF230	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							44	EU\Retrofit (Competitors)\Air solutions\Newenta\
301881	SM24 NC																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301554	SAL2.23																															Joventa			AC 230 V	45 dB(A)	2- / 3-point	125 s		24 Nm		3.6 VA	Terminal				IP54	93°			10...20 mm	gear disengagement		GM230A-TP			For 3-point control please get in touch with your local Belimo support.|											54	EU\Retrofit (Competitors)\Air solutions\Joventa\
288486	GEB132.2E																															Siemens	GEB	linear actuator	AC 24 V		3-point	150 s			400 N	4 VA	0.9 m				IP40						Poti 1 kOhm															49	EU\Retrofit (Competitors)\Air solutions\Siemens\
301394	N20230-SW2																															Honeywell			AC 230 V	40 dB(A)	3-point	110 s		20 Nm		8 VA	Terminal		2 x SPDT		IP54	95°			10...27 mm	gear disengagement		SM230A-S-TP				SM230A-TP	S2A		Accessory S2A with 2 adjustable switching points.|							59	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301717	LM24/300																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	3 m				IP54	95°			6...16 mm			LM24A			Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301715	LM24 HG																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	113 s	4 Nm		3 VA	1 m				IP54	95°			6...16 mm			LM24A														51	EU\Retrofit (Competitors)\Air solutions\Belimo\
301719	LM24-5P0																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m				IP54	95°		5 kΩ	6...16 mm			LM24AP5														54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301391	N20230																															Honeywell			AC 230 V	40 dB(A)	3-point	110 s		20 Nm		8 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		SM230A-TP														55	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301556	SAS1.23																															Joventa			AC/DC 24 V	45 dB(A)	2- / 3-point	30 s		8 Nm		5 VA	Terminal				IP54	93°			10...20 mm	gear disengagement		NMC24A-MP														54	EU\Retrofit (Competitors)\Air solutions\Joventa\
288490	GEB161.2E																															Siemens	GEB	linear actuator	AC 24 V		modulating	150 s			400 N	6 VA	0.9 m				IP40							SH24A-MP100				SH24A-SR100										49	EU\Retrofit (Competitors)\Air solutions\Siemens\
301878	SM24 BL																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301880	SM24 H																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301389	N20010-SER																															Honeywell			AC 24 V	40 dB(A)	modulating	95 s		20 Nm		6 VA	Terminal				IP54	95°	DC 0...30 V / 0...60 mA adjustable	DC 0...10 V	10...27 mm	gear disengagement		SM24A-MP-TP														54	EU\Retrofit (Competitors)\Air solutions\Honeywell\
288494	GEB331.2E																															Siemens	GEB	linear actuator	AC 230 V		3-point	150 s			400 N	3 VA	0.9 m				IP40							SH230A100														49	EU\Retrofit (Competitors)\Air solutions\Siemens\
301553	SAL1.23S																															Joventa			AC/DC 24 V	45 dB(A)	2- / 3-point	125 s		24 Nm		5 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		GM24A-TP	S2A		Accessory S2A with 2 adjustable switching points.|	GM24A-MP-TP	S2A		For 3-point control, AC only.|							58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301393	N20230-P10K																															Honeywell			AC 230 V	40 dB(A)	3-point	110 s		20 Nm		8 VA	Terminal				IP54	95°		10 kΩ	10...27 mm	gear disengagement		SM230A-TP	P10000A													55	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301716	LM24 RE																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m				IP54	95°			6...16 mm			LM24A														54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301551	SA2.23S																															Joventa			AC 230 V	45 dB(A)	2- / 3-point	80 s		16 Nm		3.6 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		SM230A-S-TP				SM230A-TP	S2A		Accessory S2A with 2 adjustable switching points.|							58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301876	SM230/300																															Belimo			AC 230 V	45 dB(A)	Open-close	80 s	150 s	15 Nm		17 VA	3 m				IP54	95°			10...20 mm			SM230A	Z-SMA		Connection: cable 1 m, PVC|											55	EU\Retrofit (Competitors)\Air solutions\Belimo\
304324	SFP-512-2																															Newenta			AC 100...230 V		Open-close			5 Nm				yes	2 x SPDT						6...15 mm			LF230-S				LF230	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							44	EU\Retrofit (Competitors)\Air solutions\Newenta\
288484	GEB131.2E																															Siemens	GEB	Luftklappen-Linearantriebe	AC 24 V		3-point	150 s			400 N	4 VA	0.9 m				IP40							SH24A100														48	EU\Retrofit (Competitors)\Air solutions\Siemens\
301714	LM24 H																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	112 s	4 Nm		3 VA	1 m				IP54	95°			6...16 mm			LM24A														51	EU\Retrofit (Competitors)\Air solutions\Belimo\
301723	LM24-F BL																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	111 s	4 Nm		3 VA	1 m				IP54	95°			8 mm			LM24A-F														51	EU\Retrofit (Competitors)\Air solutions\Belimo\
301403	S10230-2POS																															Honeywell			AC 230 V	50 dB(A)	Open-close	45 s		10 Nm		45 VA		yes			IP54	95°			10...27 mm	hand crank		NFA														59	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301882	SM24 RT																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301400	N3424																															Honeywell			AC 24 V	40 dB(A)	3-point	110 s		34 Nm		6 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		GM24A-MP-TP			For 3-point control, AC only.|											56	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301567	SM4.2S																															Joventa			AC 110 V	45 dB(A)	modulating	80 s	110 s	16 Nm		6 VA	Terminal		2 x SPDT		IP54	93°	DC 0(2)...10 V	DC 0(2)...10 V	10...20 mm	gear disengagement		SM230ASR-TP	S2A		Accessory S2A with 2 adjustable switching points.|											58	EU\Retrofit (Competitors)\Air solutions\Joventa\
298075	ML6184E1017																															Honeywell			AC 24 V	45 dB(A)	3-point	110 s		17 Nm		6 VA	1 m		2 x SPDT		IP54	95°			10...16 mm	gear disengagement		SM24A	S2A		Accessory S2A with 2 adjustable switching points.|											61	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301731	LM24-FS-T																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	Terminal		1 x SPDT		IP54	95°			8 mm			LM24A-S-TP				LM24A-F	S1A									57	EU\Retrofit (Competitors)\Air solutions\Belimo\
288498	GEB336.2E																															Siemens	GEB	linear actuator	AC 230 V		3-point	150 s			400 N	3 VA	0.9 m		2 x SPDT		IP40																					53	EU\Retrofit (Competitors)\Air solutions\Siemens\
301560	SM1.10																															Joventa			AC/DC 24 V	45 dB(A)	modulating	16 s		16 Nm		15 VA	Terminal				IP54	93°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...20 mm	gear disengagement		SMQ24A-SR			For 0…20 mA use an external 500 Ω resistor.|	SMQ24A-MF			For 0…20 mA use an external 500 Ω resistor.|							55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301890	SM24-SR H																															Belimo			AC 24 V	45 dB(A)	modulating	100 s	200 s	15 Nm		5 VA	0.9 m				IP54	95°	DC 2...10 V	DC 2...10 V	10...20 mm			SM24A-SR	Z-SMA			SM24A-PC	Z-SMA									54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301395	N2024																															Honeywell			AC 24 V	40 dB(A)	3-point	110 s		20 Nm		6 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		SM24A-TP														55	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301887	SM240 BL																															Belimo			AC 230 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		17 VA	0.9 m				IP54	95°			10...20 mm			SM230A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301726	LM24-F-5P0-C7																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m (halogen-free)				IP54	95°		5 kΩ	8 mm			LM24A-F	P5000A		Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
304340	ASF122F122																															Sauter			AC/DC 24 V		Open-close	90 s		18 Nm		7 VA	0.9 m	yes			IP54	90°			6.4...20 mm	gear disengagement		SF24A														45	EU\Retrofit (Competitors)\Air solutions\Sauter\
304333	ASF112F120																															Sauter			AC 230 V		Open-close	90 s		7 Nm		7 VA	0.9 m	yes			IP54	95°			6.4...20 mm	gear disengagement		NFA														45	EU\Retrofit (Competitors)\Air solutions\Sauter\
301397	N2024-SW2																															Honeywell			AC 24 V	40 dB(A)	3-point	110 s		20 Nm		6 VA	Terminal		2 x SPDT		IP54	95°			10...27 mm	gear disengagement		SM24A-S-TP				SM24A-TP	S2A		Accessory S2A with 2 adjustable switching points.|							59	EU\Retrofit (Competitors)\Air solutions\Honeywell\
298077	N2024-P10K																															Honeywell			AC 24 V	40 dB(A)	3-point	110 s		20 Nm		6 VA	Terminal				IP54	95°		10 kΩ	10...27 mm	gear disengagement		SM24A-TP	P10000A													59	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301720	LM24-C7																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m (halogen-free)				IP54	95°			6...16 mm			LM24A			Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
298074	238-230-15-S2																															Gruner			AC 230 V		Open-close	150 s		15 Nm		8 VA	0.9 m	yes	2 x SPDT		IP54	100°			9...20 mm	hand crank		SFA-S2				SFA	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							66	EU\Retrofit (Competitors)\Air solutions\Gruner\
298072	SM24-S H																															Belimo			AC/DC 24 V	45 dB(A)	Open-close	20 s		15 Nm		5 VA	0.9 m		1 x SPDT		IP54	95°			10...20 mm			SMQ24A	S1A	Z-SMA												60	EU\Retrofit (Competitors)\Air solutions\Belimo\
301405	S1024-2POS																															Honeywell			AC 24 V	50 dB(A)	Open-close	45 s		10 Nm		30 VA		yes			IP54	95°			10...27 mm	hand crank		NF24A														59	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301728	LM24-FS-C7																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m (halogen-free)		1 x SPDT		IP54	95°			8 mm			LM24A-S			Connection: cable 1 m, PVC|	LM24A-F	S1A		Connection: cable 1 m, PVC|							57	EU\Retrofit (Competitors)\Air solutions\Belimo\
301884	SM24/300																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	3 m				IP54	95°			10...20 mm			SM24A	Z-SMA		Connection: cable 1 m, PVC|											53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301564	SM1.23																															Joventa			AC/DC 24 V	45 dB(A)	modulating	60 s		16 Nm		6 VA	Terminal				IP54	93°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...20 mm	gear disengagement		SMC24A-MP			For 0…20 mA use an external 500 Ω resistor.|	SM24A-MP-TP			For 0…20 mA use an external 500 Ω resistor.|							55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301569	SM4.5S																															Joventa			AC 110 V	45 dB(A)	modulating	80 s	110 s	16 Nm		6 VA	Terminal		2 x SPDT		IP54	93°	0(4)...20 mA	DC 0(2)...10 V	10...20 mm	gear disengagement		SM230ASR-TP	S2A		For 0…20 mA use an external 500 Ω resistor.|											58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301557	SAS1.23S																															Joventa			AC/DC 24 V	45 dB(A)	2- / 3-point	30 s		8 Nm		5 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		NMC24A-MP	S2A		Accessory S2A with 2 adjustable switching points.|											57	EU\Retrofit (Competitors)\Air solutions\Joventa\
301562	SM1.12																															Joventa			AC/DC 24 V	45 dB(A)	modulating	8 s		8 Nm		15 VA	Terminal				IP54	93°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...20 mm	gear disengagement		NMQ24A-SR			For 0…20 mA use an external 500 Ω resistor.|	NMQ24A-MF			For 0…20 mA use an external 500 Ω resistor.|							55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301399	N34230																															Honeywell			AC 230 V	40 dB(A)	3-point	110 s		34 Nm		6 VA	Terminal				IP54	95°			10...27 mm	gear disengagement																55	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301722	LM24-F																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m				IP54	95°			8 mm			LM24A-F														54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301566	SM4.2																															Joventa			AC 110 V	45 dB(A)	modulating	80 s	110 s	16 Nm		6 VA	Terminal				IP54	93°	DC 0(2)...10 V	DC 0(2)...10 V	10...20 mm	gear disengagement		SM230ASR-TP														55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301892	SM24-SR RT																															Belimo			AC 24 V	45 dB(A)	modulating	100 s	200 s	15 Nm		5 VA	0.9 m				IP54	95°	DC 2...10 V	DC 2...10 V	10...20 mm			SM24A-SR	Z-SMA			SM24A-PC	Z-SMA									54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301402	S10010-SW2																															Honeywell			AC/DC 24 V	40 dB(A)	modulating	90 s		10 Nm		14 VA		yes	2 x SPDT		IP54	95°	DC 0(2)...10 V		10...27 mm	hand crank		NF24A-SR-S2				NF24A-SR	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							61	EU\Retrofit (Competitors)\Air solutions\Honeywell\
304342	ASF122F222																															Sauter			AC/DC 24 V		Open-close	90 s		18 Nm		7 VA	0.9 m	yes	2 x SPDT		IP54	90°			6.4...20 mm	gear disengagement		SF24A-S2				SF24A	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							48	EU\Retrofit (Competitors)\Air solutions\Sauter\
301725	LM24-F-5P0																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	1 m				IP54	95°		5 kΩ	8 mm			LM24A-F	P5000A													54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301886	SM240																															Belimo			AC 230 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		17 VA	0.9 m				IP54	95°			10...20 mm			SM230A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301559	SAS2.23S																															Joventa			AC 230 V	45 dB(A)	2- / 3-point	30 s		8 Nm		3.6 VA	Terminal		2 x SPDT		IP54	93°			10...20 mm	gear disengagement		NM230A-S-TP				NM230A-TP	S2A		Accessory S2A with 2 adjustable switching points.|							58	EU\Retrofit (Competitors)\Air solutions\Joventa\
304339	ASF122F120																															Sauter			AC 230 V		Open-close	90 s		18 Nm		8 VA	0.9 m	yes			IP54	90°			6.4...20 mm	gear disengagement		SFA														45	EU\Retrofit (Competitors)\Air solutions\Sauter\
288496	GEB332.2E																															Siemens	GEB	linear actuator	AC 230 V		3-point	150 s			400 N	3 VA	0.9 m				IP40						Poti 1 kOhm															49	EU\Retrofit (Competitors)\Air solutions\Siemens\
304337	ASF113F122																															Sauter			AC/DC 24 V		3-point	90 s		7 Nm		5 VA	0.9 m	yes			IP54	95°			6.4...20 mm	gear disengagement		NF24A-3														46	EU\Retrofit (Competitors)\Air solutions\Sauter\
298079	DM1.1FSK																															Joventa			AC/DC 24 V	50 dB(A)	modulating	90 s		16 Nm		12 VA	1 m (halogen-free)	yes	2 x SPDT		IP54	93°	DC 0...10 V	DC 0...10 V	10...20 mm	hand crank		SF24A-SZ-S2			Connection: cable 1 m, PVC|	SF24A-SZ	S2A-F		"Accessory S2A-F with 2 adjustable switching points.|
Connection: cable 1 m, PVC|"							71	EU\Retrofit (Competitors)\Air solutions\Joventa\
301894	SM24-SR/500																															Belimo			AC 24 V	45 dB(A)	modulating	100 s	200 s	15 Nm		5 VA	5 m				IP54	95°	DC 2...10 V	DC 2...10 V	10...20 mm			SM24A-SR	Z-SMA		Connection: cable 1 m, PVC|	SM24A-PC	Z-SMA		Connection: cable 1 m, PVC|							54	EU\Retrofit (Competitors)\Air solutions\Belimo\
304335	ASF112F220																															Sauter			AC 230 V		Open-close	90 s		7 Nm		7 VA	0.9 m	yes	2 x SPDT		IP54	95°			6.4...20 mm	gear disengagement		NFA-S2				NFA	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							48	EU\Retrofit (Competitors)\Air solutions\Sauter\
301724	LM24-F/300																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	3 m				IP54	95°			8 mm			LM24A-F			Connection: cable 1 m, PVC|											54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301404	S10230-2POS-SW2																															Honeywell			AC 230 V	50 dB(A)	Open-close	45 s		10 Nm		45 VA		yes	2 x SPDT		IP54	95°			10...27 mm	hand crank		NFA-S2				NFA	S2A-F		Accessory S2A-F with 2 adjustable switching points.|							63	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301396	N2024-2POS																															Honeywell			AC 24 V	40 dB(A)	Open-close	110 s		20 Nm		6 VA	Terminal				IP54	95°			10...27 mm	gear disengagement		SM24A-TP														56	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301407	S20010																															Honeywell			AC/DC 24 V	40 dB(A)	modulating	90 s		20 Nm		16 VA		yes			IP54	95°	DC 0(2)...10 V		10...27 mm	hand crank		SF24A-SR														57	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301730	LM24-FS-C7/500																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	5 m (halogen-free)		1 x SPDT		IP54	95°			8 mm			LM24A-S			Connection: cable 1 m, PVC|	LM24A-F	S1A		Connection: cable 1 m, PVC|							57	EU\Retrofit (Competitors)\Air solutions\Belimo\
301889	SM24-SR BL																															Belimo			AC 24 V	45 dB(A)	modulating	100 s	200 s	15 Nm		5 VA	0.9 m				IP54	95°	DC 2...10 V	DC 2...10 V	10...20 mm			SM24A-SR	Z-SMA			SM24A-PC	Z-SMA									54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301401	S10010																															Honeywell			AC/DC 24 V	40 dB(A)	modulating	90 s		10 Nm		14 VA		yes			IP54	95°	DC 0(2)...10 V		10...27 mm	hand crank		NF24A-SR														57	EU\Retrofit (Competitors)\Air solutions\Honeywell\
301561	SM1.10S																															Joventa			AC/DC 24 V	45 dB(A)	modulating	16 s		16 Nm		15 VA	Terminal		2 x SPDT		IP54	93°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...20 mm	gear disengagement		SMQ24A-SR	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"	SMQ24A-MF	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"							58	EU\Retrofit (Competitors)\Air solutions\Joventa\
298068	AM230																															Belimo			AC 230 V		Open-close	100 s	150 s	18 Nm							IP54							SM230A	Z-SMA													60	EU\Retrofit (Competitors)\Air solutions\Belimo\
301891	SM24-SR HG																															Belimo			AC 24 V	45 dB(A)	modulating	100 s	200 s	15 Nm		5 VA	0.9 m				IP54	95°	DC 2...10 V	DC 2...10 V	10...20 mm			SM24A-SR	Z-SMA			SM24A-PC	Z-SMA									54	EU\Retrofit (Competitors)\Air solutions\Belimo\
301883	SM24 SW																															Belimo			AC/DC 24 V	45 dB(A)	2- / 3-point	90 s	150 s	15 Nm		4 VA	0.9 m				IP54	95°			10...20 mm			SM24A	Z-SMA													53	EU\Retrofit (Competitors)\Air solutions\Belimo\
301732	LM24-F-T																															Belimo			AC/DC 24 V	35 dB(A)	2- / 3-point	80 s	110 s	4 Nm		3 VA	Terminal				IP54	95°			8 mm			LM24A-TP				LM24A-F										55	EU\Retrofit (Competitors)\Air solutions\Belimo\
301568	SM4.5																															Joventa			AC 110 V	45 dB(A)	modulating	80 s	110 s	16 Nm		6 VA	Terminal				IP54	93°	0(4)...20 mA	DC 0(2)...10 V	10...20 mm	gear disengagement		SM230ASR-TP			For 0…20 mA use an external 500 Ω resistor.|											55	EU\Retrofit (Competitors)\Air solutions\Joventa\
301563	SM1.12S																															Joventa			AC/DC 24 V	45 dB(A)	modulating	8 s		8 Nm		15 VA	Terminal		2 x SPDT		IP54	93°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...20 mm	gear disengagement		NMQ24A-SR	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"	NMQ24A-MF	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"							58	EU\Retrofit (Competitors)\Air solutions\Joventa\
301398	N34010																															Honeywell			AC 24 V	40 dB(A)	modulating	95 s		34 Nm		6 VA	Terminal				IP54	95°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...27 mm	gear disengagement		GM24A-SR-TP			For 0…20 mA use an external 500 Ω resistor.|	GM24A-MP			For 0…20 mA use an external 500 Ω resistor.|							55	EU\Retrofit (Competitors)\Air solutions\Honeywell\
298076	N20010-SW2																															Honeywell			AC 24 V	40 dB(A)	modulating	95 s		20 Nm		6 VA	Terminal		2 x SPDT		IP54	95°	DC 0...10 V / 0...20 mA	DC 0...10 V	10...27 mm	gear disengagement		SM24A-SR-TP	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"	SM24A-MP-TP	S2A		"For 0…20 mA use an external 500 Ω resistor.|
Accessory S2A with 2 adjustable switching points.|"							62	EU\Retrofit (Competitors)\Air solutions\Honeywell\
298073	BEP-10F1E																															Elodrive			AC/DC 24 V	35 dB(A)	3-point	90 s		10 Nm		20 VA	0.9 m	yes			IP66	95°			8...20 mm	hand crank		NF24A-MP			For 3-point control, AC only.|	NF24A-3				NF24G-MP-L		For 3-point control, AC only.|				70	EU\Retrofit (Competitors)\Air solutions\Elodrive\
