PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
61692;R6040R-B3;Auf-Zu-Kugelhahn;KH;Ventil;-10...100°C;;;;;;;;;;;;R6..R-B..;R6..R-B.._datasheet_de-ch.pdf;;PIC_EU_R6-neueCCV_01_SW.jpg;40;6;600 kPa;600 kPa;;100 kPa;31 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Flansch;;Wasser;Absperrventil;;;;;274;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Absperr-Kugelhahnen\Flansch, 2-Weg, PN 6\DN 40\"
101665;SRF24A-SR-5-O;Federrücklauf-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;NO;"90 s";;;;AC/DC 24 V;20 Nm;IP54;SRF24A-SR-5-O;SRF24A-SR-5-O_datasheet_de-ch.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\Drosselklappen-Linkage\stetig\AC/DC 24 V\"
101662;SRF24A-SR-S2;Federrücklauf-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;NC;"90 s";;;"2 x EPU";AC/DC 24 V;20 Nm;IP54;SRF24A-SR-S2;SRF24A-SR-S2_datasheet_de-ch.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\Kugelhahn-Linkage\stetig\AC/DC 24 V\"
5366;R417D;Regelkugelhahn;RKH;Ventil;2...130°C;;;;;;;;;;;;R4xxD(K);R4xxD(K)_datasheet_de-ch.pdf;;PIC_EU_R415D_01_4C.jpg;20;16;2700 kPa;1400 kPa;;400 kPa;6.3 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Aussengewinde;;Wasser;Regelventil;;ZR4520;;;295;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Aussengewinde, 2-Weg\DN 20\"
101664;SRF24A-SR-5;Federrücklauf-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;NC;"90 s";;;;AC/DC 24 V;20 Nm;IP54;SRF24A-SR-5;SRF24A-SR-5_datasheet_de-ch.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\Drosselklappen-Linkage\stetig\AC/DC 24 V\"
5386;R420;Auf-Zu-Kugelhahn;KH;Ventil;6...100°C;;;;;;;;;;;;R4..;R4.._datasheet_de-ch.pdf;;PIC_EU_R4_neutral_01_2C.jpg;20;16;1600 kPa;1400 kPa;;400 kPa;21 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Aussengewinde;;Wasser;Absperrventil;ZR24-2;ZR4520;;;309;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Absperr-Kugelhahnen\Aussengewinde, 2-Weg\DN 20\"
61697;R7020R6P3-B1;Regelkugelhahn;RKH;Ventil;-10...100°C;;;;;;;;;;;;R7..Rxx-B..;R7..Rxx-B.._datasheet_de-ch.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;20;6;600 kPa;600 kPa;;100 kPa;6.3 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Flansch;;Wasser;Regelventil;;;;;299;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 3-Weg\DN 20\"
61307;ZD6N-H100;Drosselklappe;;Antrieb;;Manuell;;;;;;;;;;;ZD6N-H100;;;"PIC_EU_ZD6N-H_Manual control_BW.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Manuelle Antriebe\"
5170;H6150SP;"Hubventil (teildruckentlastet)";H;Ventil;5...150°C;;;;;;;;;;;;H6..SP;H6..SP_datasheet_de-ch.pdf;;PIC_EU_H6..S-neutral_01_4C.jpg;150;16;1600 kPa;;;;320 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser|Dampf;Regelventil;;;;;272;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\SP\DN 150\"
4927;LR24A-S;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;"1 x EPU";AC/DC 24 V;5 Nm;IP54;LR24A-S;LR24A-S_datasheet_de-ch.pdf;;PIC_EU_LR24A-S_02_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;317;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\LR..A (5 Nm)\Kugelhahn-Linkage\Auf-Zu, 3-Punkt\AC/DC 24 V\"
