PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
120620;R7032R16-B3+NRC24A-SR;R7032R16-B3+NRC24A-SR;;R7032R16-B3;+;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7032R16-B3+NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120621;R7032R16-B3/NRC24A-SR;R7032R16-B3/NRC24A-SR;;R7032R16-B3;/;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7032R16-B3/NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120622;R7040R-B3+NR230A;R7040R-B3+NR230A;;R7040R-B3;+;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3+NR230A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120623;R7040R-B3/NR230A;R7040R-B3/NR230A;;R7040R-B3;/;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3/NR230A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120624;R7040R-B3+NR230A-S;R7040R-B3+NR230A-S;;R7040R-B3;+;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3+NR230A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120625;R7040R-B3/NR230A-S;R7040R-B3/NR230A-S;;R7040R-B3;/;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3/NR230A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120626;R7040R-B3+NR24A;R7040R-B3+NR24A;;R7040R-B3;+;NR24A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3+NR24A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120627;R7040R-B3/NR24A;R7040R-B3/NR24A;;R7040R-B3;/;NR24A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3/NR24A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120628;R7040R-B3+NR24A-S;R7040R-B3+NR24A-S;;R7040R-B3;+;NR24A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3+NR24A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120629;R7040R-B3/NR24A-S;R7040R-B3/NR24A-S;;R7040R-B3;/;NR24A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R-B3/NR24A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120630;R7040R16-B3+NR230A;R7040R16-B3+NR230A;;R7040R16-B3;+;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR230A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120631;R7040R16-B3/NR230A;R7040R16-B3/NR230A;;R7040R16-B3;/;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR230A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120632;R7040R16-B3+NR230A-S;R7040R16-B3+NR230A-S;;R7040R16-B3;+;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR230A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120633;R7040R16-B3/NR230A-S;R7040R16-B3/NR230A-S;;R7040R16-B3;/;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR230A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120634;R7040R16-B3+NR24A;R7040R16-B3+NR24A;;R7040R16-B3;+;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR24A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120635;R7040R16-B3/NR24A;R7040R16-B3/NR24A;;R7040R16-B3;/;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR24A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120638;R7040R16-B3+NR24A-MP;R7040R16-B3+NR24A-MP;;R7040R16-B3;+;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR24A-MP;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120639;R7040R16-B3/NR24A-MP;R7040R16-B3/NR24A-MP;;R7040R16-B3;/;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR24A-MP;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120640;R7040R16-B3+NR24A-S;R7040R16-B3+NR24A-S;;R7040R16-B3;+;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR24A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120641;R7040R16-B3/NR24A-S;R7040R16-B3/NR24A-S;;R7040R16-B3;/;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR24A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120642;R7040R16-B3+NR24A-SR;R7040R16-B3+NR24A-SR;;R7040R16-B3;+;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NR24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120643;R7040R16-B3/NR24A-SR;R7040R16-B3/NR24A-SR;;R7040R16-B3;/;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NR24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120646;R7040R16-B3+NRC24A-SR;R7040R16-B3+NRC24A-SR;;R7040R16-B3;+;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3+NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120647;R7040R16-B3/NRC24A-SR;R7040R16-B3/NRC24A-SR;;R7040R16-B3;/;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7040R16-B3/NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120648;R7050R-B3+NR230A;R7050R-B3+NR230A;;R7050R-B3;+;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3+NR230A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120649;R7050R-B3/NR230A;R7050R-B3/NR230A;;R7050R-B3;/;NR230A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3/NR230A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120650;R7050R-B3+NR230A-S;R7050R-B3+NR230A-S;;R7050R-B3;+;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3+NR230A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120651;R7050R-B3/NR230A-S;R7050R-B3/NR230A-S;;R7050R-B3;/;NR230A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3/NR230A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120752;R7050R-B3+NR24A;R7050R-B3+NR24A;;R7050R-B3;+;NR24A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3+NR24A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120753;R7050R-B3/NR24A;R7050R-B3/NR24A;;R7050R-B3;/;NR24A;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3/NR24A;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120754;R7050R-B3+NR24A-S;R7050R-B3+NR24A-S;;R7050R-B3;+;NR24A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3+NR24A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120755;R7050R-B3/NR24A-S;R7050R-B3/NR24A-S;;R7050R-B3;/;NR24A-S;Standardantrieb;0;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R-B3/NR24A-S;Umschaltkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120756;R7050R25-B3+NR230A;R7050R25-B3+NR230A;;R7050R25-B3;+;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR230A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120757;R7050R25-B3/NR230A;R7050R25-B3/NR230A;;R7050R25-B3;/;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR230A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120758;R7050R25-B3+NR230A-S;R7050R25-B3+NR230A-S;;R7050R25-B3;+;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR230A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120759;R7050R25-B3/NR230A-S;R7050R25-B3/NR230A-S;;R7050R25-B3;/;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR230A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
120760;R7050R25-B3+NR24A;R7050R25-B3+NR24A;;R7050R25-B3;+;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR24A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120761;R7050R25-B3/NR24A;R7050R25-B3/NR24A;;R7050R25-B3;/;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR24A;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120764;R7050R25-B3+NR24A-MP;R7050R25-B3+NR24A-MP;;R7050R25-B3;+;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR24A-MP;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120765;R7050R25-B3/NR24A-MP;R7050R25-B3/NR24A-MP;;R7050R25-B3;/;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR24A-MP;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120766;R7050R25-B3+NR24A-S;R7050R25-B3+NR24A-S;;R7050R25-B3;+;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR24A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";39
120767;R7050R25-B3/NR24A-S;R7050R25-B3/NR24A-S;;R7050R25-B3;/;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR24A-S;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120768;R7050R25-B3+NR24A-SR;R7050R25-B3+NR24A-SR;;R7050R25-B3;+;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NR24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120769;R7050R25-B3/NR24A-SR;R7050R25-B3/NR24A-SR;;R7050R25-B3;/;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NR24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
120772;R7050R25-B3+NRC24A-SR;R7050R25-B3+NRC24A-SR;;R7050R25-B3;+;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3+NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
120773;R7050R25-B3/NRC24A-SR;R7050R25-B3/NRC24A-SR;;R7050R25-B3;/;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R7050R25-B3/NRC24A-SR;Regelkugelhahn;600 kPa;100 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
122218;R2032-16-S3+NR230A;R2032-16-S3+NR230A;;R2032-16-S3;+;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";38
122219;R2032-16-S3/NR230A;R2032-16-S3/NR230A;;R2032-16-S3;/;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";38
122220;R2032-16-S3+NR230A-S;R2032-16-S3+NR230A-S;;R2032-16-S3;+;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";38
122221;R2032-16-S3/NR230A-S;R2032-16-S3/NR230A-S;;R2032-16-S3;/;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";38
122222;R2032-16-S3+NR24A;R2032-16-S3+NR24A;;R2032-16-S3;+;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122223;R2032-16-S3/NR24A;R2032-16-S3/NR24A;;R2032-16-S3;/;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122226;R2032-16-S3+NR24A-MP;R2032-16-S3+NR24A-MP;;R2032-16-S3;+;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";38
122227;R2032-16-S3/NR24A-MP;R2032-16-S3/NR24A-MP;;R2032-16-S3;/;NR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";38
122228;R2032-16-S3+NR24A-S;R2032-16-S3+NR24A-S;;R2032-16-S3;+;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122229;R2032-16-S3/NR24A-S;R2032-16-S3/NR24A-S;;R2032-16-S3;/;NR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122230;R2032-16-S3+NR24A-SR;R2032-16-S3+NR24A-SR;;R2032-16-S3;+;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NR24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122231;R2032-16-S3/NR24A-SR;R2032-16-S3/NR24A-SR;;R2032-16-S3;/;NR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NR24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122234;R2032-16-S3+NRC24A-SR;R2032-16-S3+NRC24A-SR;;R2032-16-S3;+;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3+NRC24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";38
122235;R2032-16-S3/NRC24A-SR;R2032-16-S3/NRC24A-SR;;R2032-16-S3;/;NRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2032-16-S3/NRC24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";38
122480;R2050-25-S4+SR230A;R2050-25-S4+SR230A;;R2050-25-S4;+;SR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122481;R2050-25-S4/SR230A;R2050-25-S4/SR230A;;R2050-25-S4;/;SR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122482;R2050-25-S4+SR230A-S;R2050-25-S4+SR230A-S;;R2050-25-S4;+;SR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";41
122483;R2050-25-S4/SR230A-S;R2050-25-S4/SR230A-S;;R2050-25-S4;/;SR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122484;R2050-25-S4+SR24A;R2050-25-S4+SR24A;;R2050-25-S4;+;SR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122485;R2050-25-S4/SR24A;R2050-25-S4/SR24A;;R2050-25-S4;/;SR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";41
122488;R2050-25-S4+SR24A-MP;R2050-25-S4+SR24A-MP;;R2050-25-S4;+;SR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";40
122489;R2050-25-S4/SR24A-MP;R2050-25-S4/SR24A-MP;;R2050-25-S4;/;SR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";40
122490;R2050-25-S4+SR24A-S;R2050-25-S4+SR24A-S;;R2050-25-S4;+;SR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122491;R2050-25-S4/SR24A-S;R2050-25-S4/SR24A-S;;R2050-25-S4;/;SR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";41
122492;R2050-25-S4+SR24A-SR;R2050-25-S4+SR24A-SR;;R2050-25-S4;+;SR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4+SR24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";41
122493;R2050-25-S4/SR24A-SR;R2050-25-S4/SR24A-SR;;R2050-25-S4;/;SR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-25-S4/SR24A-SR;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122496;R2050-40-S4+SR230A;R2050-40-S4+SR230A;;R2050-40-S4;+;SR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4+SR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122497;R2050-40-S4/SR230A;R2050-40-S4/SR230A;;R2050-40-S4;/;SR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4/SR230A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122498;R2050-40-S4+SR230A-S;R2050-40-S4+SR230A-S;;R2050-40-S4;+;SR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4+SR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122499;R2050-40-S4/SR230A-S;R2050-40-S4/SR230A-S;;R2050-40-S4;/;SR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4/SR230A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";41
122500;R2050-40-S4+SR24A;R2050-40-S4+SR24A;;R2050-40-S4;+;SR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4+SR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122501;R2050-40-S4/SR24A;R2050-40-S4/SR24A;;R2050-40-S4;/;SR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4/SR24A;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";41
122504;R2050-40-S4+SR24A-MP;R2050-40-S4+SR24A-MP;;R2050-40-S4;+;SR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4+SR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122505;R2050-40-S4/SR24A-MP;R2050-40-S4/SR24A-MP;;R2050-40-S4;/;SR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4/SR24A-MP;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Combinations\Folder..2/..3\";39
122506;R2050-40-S4+SR24A-S;R2050-40-S4+SR24A-S;;R2050-40-S4;+;SR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4+SR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";40
122507;R2050-40-S4/SR24A-S;R2050-40-S4/SR24A-S;;R2050-40-S4;/;SR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R2050-40-S4/SR24A-S;Regelkugelhahn;1400 kPa;350 kPa;;"EU\Inbox\Kombinationen\Folder..2/..3\";40
