PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
104482;D625N+SR24A-MP-5;D625N+SR24A-MP-5;;D625N;+;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";0;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N+SR24A-MP-5;Drosselklappe;1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104483;D625N/SR24A-MP-5;D625N/SR24A-MP-5;;D625N;/;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D625N/SR24A-MP-5;Drosselklappe;1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104716;D632N+SR230A-5;D632N+SR230A-5;;D632N;+;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR230A-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";54
104717;D632N/SR230A-5;D632N/SR230A-5;;D632N;/;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR230A-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";52
104718;D632N+SR24A-5;D632N+SR24A-5;;D632N;+;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR24A-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104719;D632N/SR24A-5;D632N/SR24A-5;;D632N;/;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR24A-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104722;D632N+SR24A-MP-5;D632N+SR24A-MP-5;;D632N;+;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR24A-MP-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104723;D632N/SR24A-MP-5;D632N/SR24A-MP-5;;D632N;/;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR24A-MP-5;Drosselklappe;1200 kPa;4 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";48
104740;D640N+SR230A-5;D640N+SR230A-5;;D640N;+;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR230A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";50
104741;D640N/SR230A-5;D640N/SR230A-5;;D640N;/;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR230A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";50
104742;D640N+SR24A-5;D640N+SR24A-5;;D640N;+;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR24A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";48
104743;D640N/SR24A-5;D640N/SR24A-5;;D640N;/;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR24A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";47
104746;D640N+SR24A-MP-5;D640N+SR24A-MP-5;;D640N;+;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR24A-MP-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104747;D640N/SR24A-MP-5;D640N/SR24A-MP-5;;D640N;/;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR24A-MP-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104758;D650N+SR230A-5;D650N+SR230A-5;;D650N;+;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR230A-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104759;D650N/SR230A-5;D650N/SR230A-5;;D650N;/;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR230A-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104760;D650N+SR24A-5;D650N+SR24A-5;;D650N;+;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR24A-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
