PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
61652;R3025-6P3-S2;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;25;16;1600 kPa;1400 kPa;;350 kPa;6.3 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2325;;;356;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
101222;NV24A-SZ-TPC;Hubantrieb;;Antrieb;;stetig;DC 0.5...10 V;;;;"150 s / 20 mm";"1000 N";;AC/DC 24 V;;IP54;NV24A-SZ-TPC;NV24A-SZ-TPC_datasheet_de-ch.pdf;;PIC_EU_LV24A-SR..SZ-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;304;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\NV..A (1000N)\"
61651;R3020-6P3-S2;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;20;16;1600 kPa;1400 kPa;;350 kPa;6.3 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2320;;;341;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
101230;SV24A-SR-TPC;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"150 s / 20 mm";"1500 N";;AC/DC 24 V;;IP54;SV24A-SR-TPC;SV24A-SR-TPC_datasheet_de-ch.pdf;;PIC_EU_SV24A-SR-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;293;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\SV..A (1500N)\"
101233;EVC24A-SZ;Hubantrieb;;Antrieb;;stetig;DC 0.5...10 V;;;;"35 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EVC24A-SZ;EVC24A-SZ_datasheet_de-ch.pdf;;PIC_EU_EVC24A-SZ_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;274;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\EVC..A (2500N)\"
5131;H6100N;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..N;H6..N_datasheet_de-ch.pdf;;PIC_EU_H625N_4C.jpg;100;16;1600 kPa;;;;145 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1-C;;;;293;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\N\"
101234;EV24A-SR-TPC;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"150 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EV24A-SR-TPC;EV24A-SR-TPC_datasheet_de-ch.pdf;;PIC_EU_EV24A-SR-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;305;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\EV..A (2500N)\"
59906;SRF230A;Federrücklauf-Drehantrieb;;Antrieb;;Auf-Zu;;;NC;"75 s";;;;AC 230 V;"20 Nm";IP54;SRF230A;SRF230A_datasheet_de-ch.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\"
305190;R3020-4-1-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;4 m³/h;1 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;133;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
303851;EP015R-R6+BAC;"Regelkugelhahn mit sensorgeführter Durchflussregelung";6-Weg-EPIV;VA-Einheit;"6...80°C ";stetig|kommunikativ;DC 2...10 V;"Modbus RTU|BACnet MS/TP|MP-Bus";;"90 s";;;;AC/DC 24 V;"5 Nm";IP54;EP..R-R6+BAC;EP..R-R6_BAC_datasheet_de-ch.pdf;;PIC_EU_EP..R-R6-BAC_4C.jpg;15;16;1600 kPa;;;110 kPa;;;;;;1.2 m³/h;;;;1260 l/h;;;;840 l/h;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Druckunabhängig;CRK24-B1;ZR2315|ZR-004;1.05 l/min;1.05 l/min;175;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\6-Weg-EPIV\"
5292;R3015-P63-1P3-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;0.63 m³/h;1.3 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5293;R3015-1-P25-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;0.25 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
