PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
PdmarticleID;Label;891;6667;6691;22;281;121;6517;6577;230;6650;118;112;83;260;144;406;660;3432;377;15;528;23;18;7308;28;14;510;511;78;6853;6827;6684;3460;6516;7153;548;549;7311;7456;6686;6560;6561;7312;6673;6666;581;582;7392;7393;VersionNr;Path
61654;R3032-16-S3;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;32;16;1600 kPa;1400 kPa;;350 kPa;16 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2332;;;357;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
61655;R3040-16-S3;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;40;16;1600 kPa;1400 kPa;;350 kPa;16 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2340;;;355;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
101235;EVC24A-SR;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"35 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EVC24A-SR;EVC24A-SR_datasheet_de-ch.pdf;;PIC_EU_EVC24A-SR_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;286;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\EVC..A (2500N)\"
101236;RV24A-SZ;Hubantrieb;;Antrieb;;stetig;DC 0.5...10 V;;;;"120 s / 40 mm";"4500 N";;AC/DC 24 V;;IP54;RV24A-SZ;RV24A-SZ_datasheet_de-ch.pdf;;PIC_EU_RV24A-SZ_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;285;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\RV..A (4500N)\"
5294;R3015-1-P4-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;0.4 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5295;R3015-1-P63-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;0.63 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;408;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
4765;NR24A;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;;AC/DC 24 V;"10 Nm";IP54;NR24A;NR24A_datasheet_de-ch.pdf;;PIC_EU_NR24A_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;345;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\NR..A (10 Nm)\"
5137;H620R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;20;6;600 kPa;;;;6.3 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;304;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
5138;H625R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;25;6;600 kPa;;;;10 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;307;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
305193;R3020-P63-4-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;0.63 m³/h;4 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;133;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
4771;NRC24A-SR;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"45 s";;;;AC/DC 24 V;"10 Nm";IP54;NRC24A-SR;NRC24A-SR_datasheet_de-ch.pdf;;PIC_EU_NR24A-MF-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;298;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Schnellläufer-Antriebe\NRC..A (10 Nm)\"
4768;NR24A-SR;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;"10 Nm";IP54;NR24A-SR;NR24A-SR_datasheet_de-ch.pdf;;PIC_EU_NR24A-SR-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;337;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\NR..A (10 Nm)\"
5139;H632R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;32;6;600 kPa;;;;16 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;303;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
61658;R3050-25-S4;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;25 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2350;;;354;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
101246;LVC24A-MP-TPC;Hubantrieb;;Antrieb;;stetig|kommunikativ;DC 2...10 V;MP-Bus;;;"35 s / 15 mm";"500 N";;AC/DC 24 V;;IP54;LVC24A-MP-TPC;LVC24A-MP-TPC_datasheet_de-ch.pdf;;PIC_EU_LVC24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;387;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\LVC..A (500N)\"
101245;LV24A-MP-TPC;Hubantrieb;;Antrieb;;stetig|kommunikativ;DC 2...10 V;MP-Bus;;;"150 s / 15 mm";"500 N";;AC/DC 24 V;;IP54;LV24A-MP-TPC;LV24A-MP-TPC_datasheet_de-ch.pdf;;PIC_EU_LV24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;387;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\LV..A (500N)\"
5298;R3015-1P3-P25-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1.3 m³/h;0.25 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;404;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
61656;R3040-25-S4;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;40;16;1600 kPa;1400 kPa;;350 kPa;25 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2340;;;357;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
101244;EVC24A-MF;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"35 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EVC24A-MF;EVC24A-MF_datasheet_de-ch.pdf;;PIC_EU_EVC24A-MF_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN;;;;315;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\EVC..A (2500N)\"
5300;R3015-1P3-P63-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1.3 m³/h;0.63 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;406;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
101237;RV24A-SR;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"120 s / 40 mm";"4500 N";;AC/DC 24 V;;IP54;RV24A-SR;RV24A-SR_datasheet_de-ch.pdf;;PIC_EU_RV24A-SR_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;296;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\RV..A (4500N)\"
5141;H650R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;50;6;600 kPa;;;;40 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;308;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
101247;NV24A-MP-TPC;Hubantrieb;;Antrieb;;stetig|kommunikativ;DC 2...10 V;MP-Bus;;;"150 s / 20 mm";"1000 N";;AC/DC 24 V;;IP54;NV24A-MP-TPC;NV24A-MP-TPC_datasheet_de-ch.pdf;;PIC_EU_NV24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;409;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\NV..A (1000N)\"
5299;R3015-1P3-P4-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1.3 m³/h;0.4 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;408;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5301;R3015-1P3-1-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1.3 m³/h;1 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5297;R3015-1-1P3-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;1.3 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5142;H664R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;65;6;600 kPa;;;;58 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1-C;;;;303;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
5143;H679R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;80;6;600 kPa;;;;90 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1-C;;;;304;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
61659;R3050-40-S4;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;40 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2350;;;358;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
61662;R3020-S2;Umschaltkugelhahn;KH;Ventil;-10...120°C;;;;;;;;;;;;R3..-S..;R3..-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;20;16;1600 kPa;1400 kPa;;1000 kPa;32 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Umschaltventil;;ZR2320;;;351;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Umschalt-Kugelhahnen\Innengewinde, 3-Weg, T-Bohrung\"
5296;R3015-1-1-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;1 m³/h;1 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;412;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
4769;NR230A;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;;AC 230 V;"10 Nm";IP54;NR230A;NR230A_datasheet_de-ch.pdf;;PIC_EU_NRneutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;334;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\NR..A (10 Nm)\"
61661;R3015-S1;Umschaltkugelhahn;KH;Ventil;-10...120°C;;;;;;;;;;;;R3..-S..;R3..-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;15;16;1600 kPa;1400 kPa;;1000 kPa;15 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Umschaltventil;;ZR2315;;;357;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Umschalt-Kugelhahnen\Innengewinde, 3-Weg, T-Bohrung\"
61660;R3050-58-S4;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;58 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2350;;;357;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
5144;H6100R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;100;6;600 kPa;;;;145 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1-C;;;;301;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
4767;NR24A-S;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;"1 x EPU";AC/DC 24 V;"10 Nm";IP54;NR24A-S;NR24A-S_datasheet_de-ch.pdf;;PIC_EU_NR24A-S_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;338;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\NR..A (10 Nm)\"
5140;H640R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;40;6;600 kPa;;;;25 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;305;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
4770;NR230A-S;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;"1 x EPU";AC 230 V;"10 Nm";IP54;NR230A-S;NR230A-S_datasheet_de-ch.pdf;;PIC_EU_NRneutral-S_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;342;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\NR..A (10 Nm)\"
4773;NRQ24A-SZ;Superschnellläufer-Drehantrieb;;Antrieb;;stetig;DC 0.5...10 V;;;"9 s";;;;AC/DC 24 V;"8 Nm";IP54;NRQ24A-SZ;NRQ24A-SZ_datasheet_de-ch.pdf;;PIC_EU_NRQ24A-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;302;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Superschnellläufer-Antriebe\NRQ..A (8 Nm)\"
4774;TR24;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"100 s";;;;AC/DC 24 V;"2 Nm";IP40;TR24;TR24_datasheet_de-ch.pdf;;PIC_EU_TR24_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\TR.. (2 Nm)\"
101248;NVC24A-MP-TPC;Hubantrieb;;Antrieb;;stetig|kommunikativ;DC 2...10 V;MP-Bus;;;"35 s / 20 mm";"1000 N";;AC/DC 24 V;;IP54;NVC24A-MP-TPC;NVC24A-MP-TPC_datasheet_de-ch.pdf;;PIC_EU_NVC24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;395;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\NVC..A (1000N)\"
101251;EV24A-MP-TPC;Hubantrieb;;Antrieb;;stetig|kommunikativ;DC 2...10 V;MP-Bus;;;"150 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EV24A-MP-TPC;EV24A-MP-TPC_datasheet_de-ch.pdf;;PIC_EU_EV24A-MP-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN|ZN230-24MP|ZFP2-MP;;;;383;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\EV..A (2500N)\"
5148;H613S;Hubventil;H;Ventil;5...150°C;;;;;;;;;;;;H6..S;H6..S_datasheet_de-ch.pdf;;PIC_EU_H6..S-neutral_01_4C.jpg;15;16;1600 kPa;;;;1.6 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser|Dampf;Regelventil;;;;;300;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\S\"
5149;H614S;Hubventil;H;Ventil;5...150°C;;;;;;;;;;;;H6..S;H6..S_datasheet_de-ch.pdf;;PIC_EU_H6..S-neutral_01_4C.jpg;15;16;1600 kPa;;;;2.5 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser|Dampf;Regelventil;;;;;298;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\S\"
5150;H615S;Hubventil;H;Ventil;5...150°C;;;;;;;;;;;;H6..S;H6..S_datasheet_de-ch.pdf;;PIC_EU_H6..S-neutral_01_4C.jpg;15;16;1600 kPa;;;;4 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser|Dampf;Regelventil;;;;;298;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\S\"
5145;H610S;Hubventil;H;Ventil;5...150°C;;;;;;;;;;;;H6..S;H6..S_datasheet_de-ch.pdf;;PIC_EU_H6..S-neutral_01_4C.jpg;15;16;1600 kPa;;;;0.4 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser|Dampf;Regelventil;;;;;304;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\S\"
4772;NRQ24A-SR;Superschnellläufer-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"9 s";;;;AC/DC 24 V;"8 Nm";IP54;NRQ24A-SR;NRQ24A-SR_datasheet_de-ch.pdf;;PIC_EU_NRQ24A-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;305;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Superschnellläufer-Antriebe\NRQ..A (8 Nm)\"
4776;TR24-SR;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;"2 Nm";IP40;TR24-SR;TR24-SR_datasheet_de-ch.pdf;;PIC_EU_TR24_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\TR.. (2 Nm)\"
61669;R3050-S4;Umschaltkugelhahn;KH;Ventil;-10...120°C;;;;;;;;;;;;R3..-S..;R3..-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;1000 kPa;49 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Umschaltventil;;ZR2350;;;347;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Umschalt-Kugelhahnen\Innengewinde, 3-Weg, T-Bohrung\"
61670;R3015-BL1;Umschaltkugelhahn;KH;Ventil;-10...100°C;;;;;;;;;;;;R3..-BL..;R3..-BL.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;15;16;1600 kPa;500 kPa;;350 kPa;5.5 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Umschaltventil;;ZR2315;;;342;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Umschalt-Kugelhahnen\Innengewinde, 3-Weg, L-Bohrung\"
5303;D625N;Drosselklappe;BFV;Ventil;-20...120°C;;;;;;;;;;;;D6..N;D6..N_datasheet_de-ch.pdf;;PIC_EU_D6..N_black_4C.jpg;25;"6 / 10 / 16";1600 kPa;;;2.5 kPa;;;;45 m³/h;;;;;;;;;;;"Leckrate A, dicht (EN 12266-1)";2-Weg;Flansch;;Wasser;Absperrventil;ZR24-F05;ZD6N-S100|ZD6N-H100;;;394;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Drosselklappen\Wafer-Type, 2-Weg, PN16\D6..N\"
