PdmarticleID;Label;"External Key";"Nominal voltage";"Power consumption in operation";"Power consumption in rest position";"Power consumption for wire sizing";Connection;"Nominal torque";"Spring torque value";"Actuating force";"Emergency control function";"Angle of rotation";"Running time motor";"Running time emergency control position";"Actuating time motor";"Actuating time emergency control function";"Running time reference";"Sound power level motor";Control;"Operating range Y";"Position feedback U";"Control signal Y variable";"Connection supply / control";"Degree of protection IEC/EN";"Ambient temperature";6287;"Product picture 4c/bw";"Data sheet name";"Data sheet PDF";"Company [Competitor]";"Serie Valve [Competitor]";"Serie Actuator [Competitor]";"Product type Actuator [Competitor]";"Product type valve [competitor]";DN;kvs;PN;Stroke;"Voltage [Competitor]";"Sound power level [Competitor]";"Control type [Competitor]";"Running Time min [Competitor]";"Running Time max [Competitor]";"Torque [Competitor]";"Stroke [Competitor]";"Power consumption [Competitor]";"Connection [Competitor]";"Safety function [Competitor]";"Integrated switch [Competitor]";"Integrated potentiometer [Competitor]";"Degree of protection [Competitor]";"Angle of rotation [Competitor]";"Working range [Competitor]";"Positioning feedback [Competitor]";"Spindle driver [Competitor]";"Manual override [Competitor]";"Additional Specification [Competitor]";"Belimo Retrofit1 Antrieb";"Belimo Retrofit1 Accessory1";"Belimo Retrofit1 Form fit adapter";"Belimo Retrofit1 Reducer";"Belimo Retrofit1 Insulation cover";"Belimo Retrofit2 Actuator";"Belimo Retrofit2 Accessory1";"Belimo Retrofit2 Form fit adapter";"Belimo Retrofit2 Reducer";"Belimo Retrofit3 Actuator";"Belimo Retrofit3 Accessory";"Belimo Retrofit3 Form fit adapter";"Belimo Retrofit4 Actuator";"Belimo Retrofit4 Accessory";"Belimo Retrofit4 Form fit adapter";"Belimo Retrofit Valve";"Belimo Retrofit VA-Unit";"Version Number";Path
298963;VG7203CT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (AT-LT 150°)";;;"Globe valve";15;0.63 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298513;V5013R1065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5013R;;;"Globe valve";25;10 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
298508;V5011R1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5011R;;;"Globe valve";40;25 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
299414;"MZF 3729";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";"MZF Spindle 1/4""";;;"Globe valve";65;63 m³/h;;26 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;24;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
298503;V5011R1034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5011R;;;"Globe valve";15;2.5 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
299409;731-9515-000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";V395-1;;;"Globe valve";100;100 m³/h;;40 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
300334;"Z014-A Zweiflach_DN 150";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ebro;"Z014-A Zweiflach";;;"Rotary valve";150;2100 m³/h;;;;;;;;;;;;;;;;;;;;;;PRCA-S2-T|PRCA-BAC-S2-T|PRKCA-BAC-S2-T;;ZPR05;;;;;;;;;;;;;;;39;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Ebro\"
298955;VG7201GT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7201 (AT-LT 150°)";;;"Globe valve";15;4.0 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;23;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
299870;VVF52.25-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF52;;;"Globe valve";25;10 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
300329;"Z014-A Zweiflach_DN 50";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ebro;"Z014-A Zweiflach";;;"Rotary valve";50;85 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;32;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Ebro\"
298520;"V5015A_DN 50";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5015A;;;"Globe valve";50;40 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
298973;VG7401AT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7401 (AT-LT 150°)";;;"Globe valve";15;0.25 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
299877;VVF61.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";15;0.45 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
298515;V5013R1081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5013R;;;"Globe valve";40;25 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
298975;VG7401CT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7401 (AT-LT 150°)";;;"Globe valve";15;0.63 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298525;V5015A1177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5015A;;;"Globe valve";150;310 m³/h;;38 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;19;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
299879;VVF61.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";15;1.2 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
299424;"VSF 1576";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";VSF;;;"Globe valve";32;16 m³/h;;16 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;18;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
299421;"MZF 3854";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";"MZF Spindle 3/8""";;;"Globe valve";100;125 m³/h;;26 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
300336;"Z014-A Zweiflach_DN 250";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ebro;"Z014-A Zweiflach";;;"Rotary valve";250;6400 m³/h;;;;;;;;;;;;;;;;;;;;;;SY4-230-3-T|SY4-230-MP-T|SY4-230-SR-T|SY4-24-3-T|SY4-24-MP-T|SY4-24-SR-T;;ZSY-011;;;;;;;;;;;;;;;32;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Ebro\"
299429;"VZF 1852";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";"VZF Spindle 1/4""";;;"Globe valve";100;125 m³/h;;26 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
298965;VG7203ET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (AT-LT 150°)";;;"Globe valve";15;1.6 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
299881;VVF61.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";15;3.0 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
298517;"V5015A_DN 25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5015A;;;"Globe valve";25;10 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
299418;"MZF 3958";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";"MZF Spindle 1/4""";;;"Globe valve";150;315 m³/h;;38 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;19;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
298522;"V5015A_DN 80";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5015A;;;"Globe valve";80;100 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
300342;"Serie 63_DN 50";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Econosto;"Serie 63";;;"Rotary valve";50;107 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;33;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Econosto\"
299884;VVF61.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";25;7.5 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
299874;VVF52.40-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF52;;;"Globe valve";40;25 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
300338;"Serie 58_DN 150";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Econosto;"Serie 58";;;"Rotary valve";150;1805 m³/h;;;;;;;;;;;;;;;;;;;;;;PRCA-S2-T|PRCA-BAC-S2-T|PRKCA-BAC-S2-T;;ZPR08;;;;;;;;;;;;;;;41;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Econosto\"
299426;"VSF 1676";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";VSF;;;"Globe valve";50;40 m³/h;;16 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;18;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
300340;"Serie 63_DN 32";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Econosto;"Serie 63";;;"Rotary valve";32;28.5 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;33;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Econosto\"
300345;"Serie 63_DN 100";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Econosto;"Serie 63";;;"Rotary valve";100;576 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;33;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Econosto\"
300335;"Z014-A Zweiflach_DN 200";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ebro;"Z014-A Zweiflach";;;"Rotary valve";200;4000 m³/h;;;;;;;;;;;;;;;;;;;;;;PRCA-S2-T|PRCA-BAC-S2-T|PRKCA-BAC-S2-T;;ZPR05;;;;;;;;;;;;;;;40;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Ebro\"
299886;VVG41.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVG41;;;"Globe valve";15;1.0 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
299883;VVF61.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";25;5.0 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
298967;VG7203GT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (AT-LT 150°)";;;"Globe valve";15;4.0 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;23;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298969;VG7203NT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (NT-ST)";;;"Globe valve";25;10 m³/h;;13 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298970;VG7203PT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (NT-ST)";;;"Globe valve";32;16 m³/h;;13 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298524;V5015A1169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5015A;;;"Globe valve";125;220 m³/h;;38 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;19;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
298514;V5013R1073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Honeywell;V5013R;;;"Globe valve";32;16 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Honeywell\"
298974;VG7401BT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7401 (AT-LT 150°)";;;"Globe valve";15;0.4 m³/h;;8 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;22;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
298972;VG7203ST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Johnson Controls";"VG7203 (NT-ST)";;;"Globe valve";50;40 m³/h;;19 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Johnson Controls\"
299876;VVF61.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siemens;VVF61;;;"Globe valve";15;0.3 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Siemens\"
300347;"Serie 63_DN 150";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Econosto;"Serie 63";;;"Rotary valve";150;1295 m³/h;;;;;;;;;;;;;;;;;;;;;;PRCA-S2-T|PRCA-BAC-S2-T|PRKCA-BAC-S2-T;;ZPR05;;;;;;;;;;;;;;;40;"EU\Retrofit (Competitors)\Water Solutions|\Retrofit rotary valve\Econosto\"
299428;"VZF 1777";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schneider Electric TAC Satchwell Siebe";"VZF Spindle 1/4""";;;"Globe valve";80;80 m³/h;;26 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|AVK24A-3-RE|AVK230A-3-RE|AVK24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;;;;;;;;;;;;;;;;21;"EU\Competitors valves retrofit\Water Solutions\Retrofit globe valves\Schneider Electric TAC Satchwell Siebe\"
