PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
100452;P6100W2000E-MP;P6100W2000E-MP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000E-MP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MP\";405
100903;P6065W800EV-BAC;P6065W800EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6065W800EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";461
100904;P6080W1100EV-BAC;P6080W1100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6080W1100EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";394
100905;P6100W2000EV-BAC;P6100W2000EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6100W2000EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";400
100906;P6125W3100EV-BAC;P6125W3100EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6125W3100EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";390
100907;P6150W4500EV-BAC;P6150W4500EV-BAC;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP|VDI3805|Internet_EU;;;P6150W4500EV-BAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\modulating, BAC\";396
303851;EP015R-R6+BAC;EP015R-R6+BAC;;;;;;;"Scenario 3";;PPK|SelectPro|VDI3805|Internet_EU;;;EP015R-R6+BAC;"Characterised control valve with sensor-operated flow control";;110 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\6-Weg-EPIV\";100
303852;EP020R-R6+BAC;EP020R-R6+BAC;;;;;;;"Scenario 3";;PPK|SelectPro|VDI3805|Internet_EU;;;EP020R-R6+BAC;"Characterised control valve with sensor-operated flow control";;110 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\6-Weg-EPIV\";95
285297;EP040R+KMP;"EP040R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP040R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";108
285293;EP015R+KMP;"EP015R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP015R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";111
285296;EP032R+KMP;"EP032R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP032R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";107
285295;EP025R+KMP;"EP025R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP025R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";108
285298;EP050R+KMP;"EP050R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP050R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";107
285294;EP020R+KMP;"EP020R+SRKA-DX0 001 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EP020R+KMP;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";107
285420;P6125W3100E-MOD;P6125W3100E-MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;P6125W3100E-MOD;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";113
285417;P6065W800E-MOD;P6065W800E-MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;P6065W800E-MOD;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";114
285423;EP020R+MOD;EP020R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP020R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";127
285426;EP040R+MOD;EP040R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP040R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";136
285419;P6100W2000E-MOD;P6100W2000E-MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;P6100W2000E-MOD;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";120
285425;EP032R+MOD;EP032R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP032R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";128
285422;EP015R+MOD;EP015R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP015R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";135
285445;P6065W800EV-KBAC;"P6065W800EV+SK-MA0 00Z 007 6";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6065W800EV-KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\SuperCap-EV\";121
285418;P6080W1100E-MOD;P6080W1100E-MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;P6080W1100E-MOD;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";118
285421;P6150W4500E-MOD;P6150W4500E-MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;P6150W4500E-MOD;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\modulating, MOD\";117
285424;EP025R+MOD;EP025R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP025R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";127
285427;EP050R+MOD;EP050R+MOD;;;;;;;"Scenario 3";;VDI3805|SelectPro|SelectPro_AP;;;EP050R+MOD;"Communicative characterised control valve with sensor-operated flow control";1400 kPa;350 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\stetig, MOD\";127
285453;EV032R+KBAC;"EV032R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV032R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";125
285447;P6100W2000EV-KBAC;"P6100W2000EV+GK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6100W2000EV-KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\SuperCap-EV\";118
285449;P6150W4500EV-KBAC;"P6150W4500EV+GK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6150W4500EV-KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";120
285452;EV025R+KBAC;"EV025R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV025R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";125
285446;P6080W1100EV-KBAC;"P6080W1100EV+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6080W1100EV-KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EV\SuperCap-EV\";119
285455;EV050R+KBAC;"EV050R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV050R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";124
285451;EV020R+KBAC;"EV020R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV020R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";126
285448;P6125W3100EV-KBAC;"P6125W3100EV+GK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6125W3100EV-KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";120
285454;EV040R+KBAC;"EV040R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV040R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";125
285450;EV015R+KBAC;"EV015R+SK-MA0 00Z 007 62";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;EV015R+KBAC;"Characterised control valve with sensor-operated flow rate or power control, power and energy-monitoring function";1400 kPa;350 kPa;;"EU\Products\Water solutions\VA Units\EV\SuperCap EV\";126
286299;P6080W1100E-KMP;"P6080W1100E+SRKA-4X0 601 D01";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6080W1100E-KMP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";106
286298;P6065W800E-KMP;"P6065W800E+SRKA-4X0 601 D0";;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6065W800E-KMP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";106
286851;P6150W4500E-KMP;P6150W4500E-KMP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6150W4500E-KMP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\SuperCap-EPIV\";83
