PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
61706;R7040R-B3;"Change-over ball valve";CV;Valve;-10...100°C;;;;;;;;;;;;R7..R-B..;R7..R-B.._datasheet_en-gb.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;40;6;600 kPa;600 kPa;;100 kPa;31 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;Flange;;Water;"Change-over valve";;;;;285;"EU\Products\Water solutions\Rotary product range valves\Change-over ball valve\Flange, 3-way, PN 6 \DN 40\"
5186;H7125N;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;125;16;1600 kPa;;;;220 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-D;ZH7125;;;270;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\N\DN 125\"
127225;SRC24A-SR;"Rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"35 s";;;;AC/DC 24 V;20 Nm;IP54;SRC24A-SR;SRC24A-SR_datasheet_en-gb.pdf;;PIC_EU_SRC24A-SR_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;227;"EU\Products\Water solutions\Rotary product range actuators\Fast runner actuators\SRC..A (20 Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
4942;LRQ24A-SZ;"Very fast running rotary actuator";;Actuator;;modulating;DC 0.5...10 V;;;"9 s";;;;AC/DC 24 V;4 Nm;IP54;LRQ24A-SZ;LRQ24A-SZ_datasheet_en-gb.pdf;;PIC_EU_LRQ24A-neutral_02_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;317;"EU\Products\Water solutions\Rotary product range actuators\Very fast runner actuator\LRQ..A (4 Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
61355;NRF230A-3-O;"Spring-return rotary actuator";;Actuator;;3-point;;;NO;"90 s";;;;AC 230 V;10 Nm;IP54;NRF230A-3-O;NRF230A-3-O_datasheet_en-gb.pdf;;PIC_EU_NRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\3-point\AC 230 V\"
61354;NRF230A-3;"Spring-return rotary actuator";;Actuator;;3-point;;;NC;"90 s";;;;AC 230 V;10 Nm;IP54;NRF230A-3;NRF230A-3_datasheet_en-gb.pdf;;PIC_EU_NRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\3-point\AC 230 V\"
61387;R6065W63-S8;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R6..W..-S8;R6..W..-S8_datasheet_en-gb.pdf;;PIC_EU_R6-W-S8-neutral_BW.jpg;65;16;1600 kPa;690 kPa;;400 kPa;63 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;Flange;;Water;"Control valve";ZR24-F05;;;;322;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 2-Weg, PN 16\DN 65\"
5465;H7200W630-S7;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..W..S7;H7..W..S7_datasheet_en-gb.pdf;;PIC_EU_H7..W..S7_01_SW.jpg;200;16;1600 kPa;;;;630 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-D;;;;277;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\W\DN 200\"
4943;NRF24A-SZ;"Spring-return rotary actuator";;Actuator;;modulating;DC 0.5...10 V;;NC;"90 s";;;;AC/DC 24 V;10 Nm;IP54;NRF24A-SZ;NRF24A-SZ_datasheet_en-gb.pdf;;PIC_EU_NRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
145518;NV24A-MOD;"Globe valve actuator";;Actuator;;communicative;;"Modbus RTU";;;"150 s / 20 mm";1000 N;;AC/DC 24 V;;IP54;NV24A-MOD;NV24A-MOD_datasheet_en-gb.pdf;;PIC_EU_NV24ALON_01_4c.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;ZK1-GEN|ZK2-GEN;;;;300;"EU\Products\Water solutions\Globe valve range actuators\Standard actuators\NV..A (1000N)\modulating, MOD\AC/DC 24 V\"
