PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
5475;H7100Y160-S4;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..Y..S..;H7..Y..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;100;40;4000 kPa;;;;160 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;288;"EU\Products\Water solutions\Globe valve range valves\PN40, flange\3-way\"
61389;R6080W100-S8;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R6..W..-S8;R6..W..-S8_datasheet_en-gb.pdf;;PIC_EU_R6-W-S8-neutral_BW.jpg;80;16;1600 kPa;690 kPa;;400 kPa;100 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;Flange;;Water;"Control valve";ZR24-F05;;;;332;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Flange, 2-way, PN 16\"
4948;NRFD230A-3-O;"Spring-return rotary actuator";;Actuator;;3-point;;;NO;"35 s";;;;AC 230 V;"5 Nm";IP54;NRFD230A-3-O;NRFD230A-3-O_datasheet_en-gb.pdf;;PIC_EU_NRFD230A-3_neutral_02_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\"
61831;SRFA-O;"Spring-return rotary actuator";;Actuator;;Open-close;;;NO;"75 s";;;;AC 24...240 V / DC 24...125 V;"20 Nm";IP54;SRFA-O;SRFA-O_datasheet_en-gb.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
61393;R6100W160-S8;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R6..W..-S8;R6..W..-S8_datasheet_en-gb.pdf;;PIC_EU_R6-W-S8-neutral_BW.jpg;100;16;1600 kPa;690 kPa;;400 kPa;160 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;Flange;;Water;"Control valve";ZR24-F05;;;;339;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Flange, 2-way, PN 16\"
61395;R6125W250-S8;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R6..W..-S8;R6..W..-S8_datasheet_en-gb.pdf;;PIC_EU_R6-W-S8-neutral_BW.jpg;125;16;1600 kPa;690 kPa;;400 kPa;250 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;Flange;;Water;"Control valve";ZR24-F05;;;;330;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Flange, 2-way, PN 16\"
61828;SRFA-S2-5;"Spring-return rotary actuator";;Actuator;;Open-close;;;NC;"75 s";;;"2 x SPDT";AC 24...240 V / DC 24...125 V;"20 Nm";IP54;SRFA-S2-5;SRFA-S2-5_datasheet_en-gb.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
272362;EP015R+MP;"Communicative characterised control valve with sensor-operated flow control";EPIV;VA-Unit;"-10...120°C ";modulating|communicative;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"5 Nm";IP54;EP..R+MP;EP..R+MP_datasheet_en-gb.pdf;;PIC_EU_EP040R-MP_4C.jpg;15;16;1600 kPa;1400 kPa;;350 kPa;;;;;;2.9 m³/h;;0.35 l/s;21 l/min;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;"Internal thread";;Water;"Pressure independent";ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;337;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\"
5194;H725R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;25;6;600 kPa;;;;10 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1;;;;288;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\"
4957;SR24A-SR-5;"Rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;SR24A-SR-5;SR24A-SR-5_datasheet_en-gb.pdf;;PIC_EU_SR24A-5_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;366;"EU\Products\Water solutions\Rotary product range actuators\Standard actuators\SR..A (20 Nm)\"
