PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
104716;D632N+SR230A-5;D632N+SR230A-5;;D632N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR230A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";53
104717;D632N/SR230A-5;D632N/SR230A-5;;D632N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR230A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";51
104718;D632N+SR24A-5;D632N+SR24A-5;;D632N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR24A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104719;D632N/SR24A-5;D632N/SR24A-5;;D632N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR24A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104722;D632N+SR24A-MP-5;D632N+SR24A-MP-5;;D632N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N+SR24A-MP-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104723;D632N/SR24A-MP-5;D632N/SR24A-MP-5;;D632N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D632N/SR24A-MP-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104740;D640N+SR230A-5;D640N+SR230A-5;;D640N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104741;D640N/SR230A-5;D640N/SR230A-5;;D640N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104742;D640N+SR24A-5;D640N+SR24A-5;;D640N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104743;D640N/SR24A-5;D640N/SR24A-5;;D640N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104746;D640N+SR24A-MP-5;D640N+SR24A-MP-5;;D640N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N+SR24A-MP-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104747;D640N/SR24A-MP-5;D640N/SR24A-MP-5;;D640N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D640N/SR24A-MP-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104758;D650N+SR230A-5;D650N+SR230A-5;;D650N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR230A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104759;D650N/SR230A-5;D650N/SR230A-5;;D650N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR230A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104760;D650N+SR24A-5;D650N+SR24A-5;;D650N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR24A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104761;D650N/SR24A-5;D650N/SR24A-5;;D650N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR24A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104764;D650N+SR24A-MP-5;D650N+SR24A-MP-5;;D650N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR24A-MP-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104765;D650N/SR24A-MP-5;D650N/SR24A-MP-5;;D650N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR24A-MP-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
